region_name,id,latitude,longitude,http
Crestwood,121701,38.946057,-77.042983,http://www.zillow.com/local-info/DC-Washington/Crestwood/r_121701/
Kalorama,268815,38.916396,-77.052056,http://www.zillow.com/local-info/DC-Washington/Kalorama/r_268815/
Ledroit Park,121750,38.916935,-77.018105,http://www.zillow.com/local-info/DC-Washington/Ledroit-Park/r_121750/
Colonial Village,121695,38.98379,-77.043458,http://www.zillow.com/local-info/DC-Washington/Colonial-Village/r_121695/
Judiciary Square,121740,38.896156,-77.017092,http://www.zillow.com/local-info/DC-Washington/Judiciary-Square/r_121740/
Pleasant Plains,403480,38.92369,-77.017922,http://www.zillow.com/local-info/DC-Washington/Pleasant-Plains/r_403480/
Dupont Park,121705,38.87498,-76.949448,http://www.zillow.com/local-info/DC-Washington/Dupont-Park/r_121705/
Saint Elizabeths,403505,38.851998,-76.995328,http://www.zillow.com/local-info/DC-Washington/Saint-Elizabeths/r_403505/
Kent,121744,38.928841,-77.102404,http://www.zillow.com/local-info/DC-Washington/Kent/r_121744/
Woodlands,403503,38.857173,-76.973784,http://www.zillow.com/local-info/DC-Washington/Woodlands/r_403503/
Barnaby Woods,121672,38.975131,-77.05778,http://www.zillow.com/local-info/DC-Washington/Barnaby-Woods/r_121672/
North Cleveland Park,121765,38.944174,-77.070235,http://www.zillow.com/local-info/DC-Washington/North-Cleveland-Park/r_121765/
Ivy City,121739,38.912264,-76.983706,http://www.zillow.com/local-info/DC-Washington/Ivy-City/r_121739/
Berkley,268801,38.919049,-77.091497,http://www.zillow.com/local-info/DC-Washington/Berkley/r_268801/
Benning,121675,38.892429,-76.945276,http://www.zillow.com/local-info/DC-Washington/Benning/r_121675/
Naylor Gardens,121764,38.856941,-76.963199,http://www.zillow.com/local-info/DC-Washington/Naylor-Gardens/r_121764/
Anacostia Naval Station - Boiling Air Force Base,403139,38.841242,-77.025513,http://www.zillow.com/local-info/DC-Washington/Anacostia-Naval-Station----Boiling-Air-Force-Base/r_403139/
Benning Heights,121676,38.891808,-76.93522,http://www.zillow.com/local-info/DC-Washington/Benning-Heights/r_121676/
